Date,Symbol,Order,Shares
2010-02-01 00:00:00,IBM,BUY,100
2010-02-09 00:00:00,IBM,SELL,100
2010-02-10 00:00:00,IBM,BUY,100
2010-02-23 00:00:00,IBM,SELL,100
2010-02-24 00:00:00,IBM,SELL,100
2010-03-08 00:00:00,IBM,BUY,100
2010-03-11 00:00:00,IBM,BUY,100
2010-03-22 00:00:00,IBM,SELL,100
2010-03-23 00:00:00,IBM,SELL,100
2010-04-06 00:00:00,IBM,BUY,100
2010-04-07 00:00:00,IBM,BUY,100
2010-04-16 00:00:00,IBM,SELL,100
2010-04-20 00:00:00,IBM,BUY,100
2010-04-27 00:00:00,IBM,SELL,100
2010-04-28 00:00:00,IBM,BUY,100
2010-05-05 00:00:00,IBM,SELL,100
2010-05-07 00:00:00,IBM,BUY,100
2010-05-26 00:00:00,IBM,SELL,100
2010-05-27 00:00:00,IBM,SELL,100
2010-06-11 00:00:00,IBM,BUY,100
2010-06-14 00:00:00,IBM,SELL,100
2010-06-21 00:00:00,IBM,BUY,100
2010-06-23 00:00:00,IBM,SELL,100
2010-07-02 00:00:00,IBM,BUY,100
2010-07-06 00:00:00,IBM,BUY,100
2010-07-28 00:00:00,IBM,SELL,100
2010-07-29 00:00:00,IBM,BUY,100
2010-08-09 00:00:00,IBM,SELL,100
2010-08-10 00:00:00,IBM,SELL,100
2010-08-20 00:00:00,IBM,BUY,100
2010-08-23 00:00:00,IBM,BUY,100
2010-09-14 00:00:00,IBM,SELL,100
2010-09-15 00:00:00,IBM,BUY,100
2010-10-01 00:00:00,IBM,SELL,100
2010-10-04 00:00:00,IBM,SELL,100
2010-10-12 00:00:00,IBM,BUY,100
2010-10-13 00:00:00,IBM,SELL,100
2010-10-29 00:00:00,IBM,BUY,100
2010-11-01 00:00:00,IBM,BUY,100
2010-11-11 00:00:00,IBM,SELL,100
2010-11-12 00:00:00,IBM,BUY,100
2010-12-01 00:00:00,IBM,SELL,100
2010-12-03 00:00:00,IBM,BUY,100
2010-12-17 00:00:00,IBM,SELL,100
2010-12-20 00:00:00,IBM,BUY,100
